left,right,interaction,alpha,valid_r2,valid_corr
feature_17,feature_66,z_product,0.004842070640923176,0.000043296327828734604,0.007327305073642182
feature_16,feature_48,z_product,0.0038961114942355816,0.00004314341917377451,0.008020676457360133
feature_04,feature_07,sign_product,0.005872839355365959,0.00004157361376699864,0.007381854843750721
feature_45,feature_66,z_product,-0.0016924317781393209,0.00004132286275104757,-0.010450028073722735
feature_04,feature_66,rank_product,-0.04563389621547303,0.000040847004108335305,-0.006658394970159855
feature_15,feature_66,abs_z_diff,-0.0030810730905017187,0.000039515297702297225,-0.007125876803691992
feature_04,feature_48,abs_z_diff,0.003986787767296769,0.0000393609219304647,0.012974774162009081
feature_60,feature_07,sign_product,-0.0031524155507500332,0.00003672440071522676,-0.0060119320115347335
feature_66,feature_56,z_product,-0.001810255757620002,0.00003665670102126484,-0.00830637715175972
feature_04,feature_19,rank_product,-0.042285882483817566,0.00003643393047569887,-0.00635460094069323
feature_15,feature_19,rank_product,0.023494696447694533,0.000035785247371578066,0.007420462945152088
feature_19,feature_56,sign_product,-0.002572695289534126,0.0000355782823135975,-0.00659596694713624
feature_04,feature_66,z_product,-0.0025430329351905016,0.00003528837159538778,-0.0066873539278974855
feature_36,feature_56,abs_z_diff,0.0029570767051048017,0.00003498776196086961,0.013356627756728775
feature_48,feature_49,abs_z_diff,0.0018663438898547779,0.00003388593977371457,0.01652883537840715
feature_45,feature_66,sign_product,-0.001540784403024871,0.000033683624490077335,-0.009402377236658743
feature_04,feature_45,sign_product,-0.0016690318316253578,0.00003317909993916235,-0.009097583748978583
feature_04,feature_19,z_product,-0.002468250528986224,0.00003222398874602739,-0.00643709558181757
feature_56,feature_49,rank_diff,-0.026683491593701633,0.00003213683643554788,-0.007195245247187832
feature_36,feature_48,abs_z_diff,0.0024257384183959704,0.00003198819708782885,0.012623671776819393
feature_15,feature_16,rank_diff,0.03395907038994861,0.00003138404801505956,0.005301530584554024
feature_17,feature_60,abs_z_diff,0.000774800335375531,0.000030170810945806537,0.026356681866092645
feature_48,feature_49,rank_product,0.043273334494580894,0.000028976044768591613,0.007385979301344094
feature_60,feature_48,abs_z_diff,0.0009645058722104944,0.00002773818212464807,0.021632715956214785
feature_66,feature_49,z_product,-0.003030932595212151,0.000027028964313058346,-0.005426196641688645
feature_17,feature_49,sign_product,0.0070122887781715855,0.00002634818273949957,0.005795854884604048
feature_66,feature_49,rank_diff,-0.006055282189692287,0.000026293279513422974,-0.006106546220094982
feature_47,feature_19,sign_product,-0.0016695297128544336,0.000025826386745864127,-0.006934884948895688
feature_17,feature_49,z_product,0.002209361989184428,0.000025000970010680135,0.007918222518615252
feature_04,feature_48,z_product,-0.0029336699459583636,0.000024951028985475965,-0.004903803680323924
feature_36,feature_19,z_diff,-0.003357437855005604,0.000023947608590035863,-0.004760935558653941
feature_48,feature_19,z_diff,0.004733985455813928,0.000023632282033059226,0.005486539052498653
feature_04,feature_47,rank_product,-0.07062766819016199,0.000023481932543978346,-0.005290221353696203
feature_49,feature_07,sign_product,-0.003086392178494195,0.00002346754514082061,-0.004130854682531658
feature_17,feature_16,rank_diff,0.02068470380159463,0.00002303420975668935,0.004186334542590968
feature_45,feature_56,sign_product,-0.0013269052800840423,0.000022343104798872027,-0.007761054642644463
feature_36,feature_66,z_diff,-0.0024805340933183938,0.00002213568437425817,-0.004521466492462054
feature_36,feature_19,rank_diff,-0.012647132607325345,0.000021423107449125567,-0.0046501982014081605
feature_17,feature_16,z_diff,0.013909971520493062,0.000021374648145444652,0.003880815334258817
feature_47,feature_66,rank_diff,0.004979822490599303,0.000020944915430143318,0.006107527625568797
feature_36,feature_49,abs_z_diff,0.0013128447889360275,0.00002056684784801366,0.01333683775539236
feature_19,feature_49,rank_diff,-0.005417577236503042,0.000020529398088164896,-0.005364369853136486
feature_60,feature_07,rank_product,-0.0258120408843279,0.000020453595427905036,-0.0038737963390711545
feature_45,feature_48,z_product,0.002915818448742971,0.000020128397525853714,0.005042140127707591
feature_47,feature_66,rank_product,-0.007879351408745313,0.000020021519425483802,-0.012105948432228121
feature_36,feature_45,abs_z_diff,0.0026980137059188706,0.000019779009360454403,0.010862206444989284
feature_17,feature_66,abs_z_diff,-0.0031284289837713183,0.00001957749535030917,-0.0035400794058228387
feature_36,feature_60,z_product,-0.0021648868340533103,0.00001927026180792435,-0.004679564662195645
feature_15,feature_66,z_product,0.005515089791337901,0.000019101642214747194,0.004634433662280386
feature_60,feature_56,sign_product,0.008600014179529172,0.00001874773344878733,0.006811953627124848
feature_04,feature_19,sign_product,-0.0027551677945081583,0.000017916651131155703,-0.004450711615302536
feature_17,feature_15,rank_product,-0.06485078779415498,0.000017807808409431303,-0.00792985829684895
feature_16,feature_49,sign_product,0.005013265047557222,0.000017524420022785314,0.004459612640375688
feature_49,feature_07,abs_z_diff,0.0007367852343895467,0.000016981714132446868,0.01730352867826912
feature_66,feature_48,z_diff,-0.005551912727824464,0.000016825777024331856,-0.005615180876271017
feature_17,feature_48,z_product,0.0033792331428339046,0.000016799890009244756,0.004227587848043648
feature_47,feature_49,z_product,-0.0003974201952378871,0.000016442769721791706,-0.007689963631170666
feature_15,feature_60,rank_diff,0.009435634783484937,0.000015688777767364215,0.003036194226372765
feature_04,feature_36,rank_product,0.028435547522279572,0.000015588129091637093,0.004520605734779585
feature_15,feature_19,abs_z_diff,-0.004835680294527815,0.000015349781658735573,-0.003991480830972883
